tournament_name,team_a,team_a_score,team_a_player_1,team_a_player_1_tuh,team_a_player_1_powers,team_a_player_1_gets,team_a_player_1_negs,team_a_player_2,team_a_player_2_tuh,team_a_player_2_powers,team_a_player_2_gets,team_a_player_2_negs,team_a_player_3,team_a_player_3_tuh,team_a_player_3_powers,team_a_player_3_gets,team_a_player_3_negs,team_a_player_4,team_a_player_4_tuh,team_a_player_4_powers,team_a_player_4_gets,team_a_player_4_negs,team_b,team_b_score,team_b_player_1,team_b_player_1_tuh,team_b_player_1_powers,team_b_player_1_gets,team_b_player_1_negs,team_b_player_2,team_b_player_2_tuh,team_b_player_2_powers,team_b_player_2_gets,team_b_player_2_negs,team_b_player_3,team_b_player_3_tuh,team_b_player_3_powers,team_b_player_3_gets,team_b_player_3_negs,team_b_player_4,team_b_player_4_tuh,team_b_player_4_powers,team_b_player_4_gets,team_b_player_4_negs
ACF Winter 2023,Ottawa D,35,Adrian Wong,20,0,3,1,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,Waterloo A (UG),485,Michael Du (UG),20,0,1,0,Mattias Ehatamm (UG),20,0,4,0,Liam Kusalik (UG),20,0,4,1,Jared He (UG),20,0,7,0
ACF Winter 2023,Western B (UG),115,Lauren Stoyles (UG),20,0,1,0,Jordan Brereton (DII),20,0,1,1,Jack Richardson (DII),20,0,2,0,Eesa Huq (UG),20,0,2,0,Toronto C (DII),210,Theodore Lam (DII),20,0,6,2,Robert Lawetz (DII),20,0,2,0,Blake Kim-Wansbrough (DII),20,0,1,0,Athan Juritsch (DII),20,0,3,2
ACF Winter 2023,Ottawa B,250,Mica Oestreich (UG),20,0,2,0,James Wang,20,0,3,1,David Gayowsky,20,0,1,0,Daniel Vorotynstev (UG),20,0,3,3,McGill D (UG),160,James Wadsley (DII),20,0,5,0,Gerrit Severeid (UG),20,0,1,0,Asha Basu (DII),20,0,3,2,None,0,0,0,0
ACF Winter 2023,McGill E (UG),215,Stephen Klein (UG),20,0,4,1,Rowan Watchmaker (DII),20,0,3,0,James Ferrabee (DII),20,0,3,0,Charlotte Bauer (DII),20,0,0,0,Toronto F (DII),105,Nathaniel Cutts (DII),20,0,0,0,Kevin He (DII),20,0,2,1,James Xiao (DII),20,0,3,4,Ellen Ge (DII),20,0,0,0
ACF Winter 2023,Carleton A,150,Valerie Brown (DII),20,0,0,0,Stuart Chandler-Baas (DII),20,0,1,0,Kevin Le,20,0,2,0,Kevin Anderson,20,0,3,0,McGill C,380,Uday Bhardwaj (DII),20,0,3,1,Sam Baker,20,0,5,1,Chloe Wei (DII),20,0,6,0,None,0,0,0,0
ACF Winter 2023,Toronto B (UG),190,Yihong Chen (DII),20,0,4,1,Sarah Khan (UG),20,0,2,0,Franklin Wu (DII),20,0,4,1,None,0,0,0,0,Ottawa C (UG),160,Stefan Vlad (DII),20,0,2,0,Martine Lajeunesse (UG),20,0,2,0,Jesse Chusing (UG),20,0,0,0,Ishan Joshi (UG),20,0,4,2
ACF Winter 2023,Waterloo C (UG),145,Prabhjot Chopra (DII),20,0,0,3,Jacob Bicol (UG),20,0,6,1,Dawson Teu (DII),20,0,1,1,Adrian O'Leary (DII),20,0,0,0,Queen's A,105,Simon Mezo (DII),20,0,0,1,Lauren MacDonnell (UG),20,0,1,0,Jocelyn Tweedle (UG),20,0,1,0,Charlie Botterell (UG),20,0,3,0
ACF Winter 2023,Western A,260,Olivia Druxerman (UG),20,0,1,0,Nicholas Kwan (UG),20,0,0,0,Ian Chow,20,0,7,2,Beth Kearney (UG),20,0,1,0,Toronto G (UG),315,Joey Sun (UG),20,0,2,1,Benjamin Chapman (UG),20,0,9,2,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,Toronto E (UG),75,Samuel Zheng (DII),20,0,0,0,Kevin Gan (UG),20,0,2,2,Imtiaz Kidwai (DII),20,0,0,0,Bhanu Mamillapalli (UG),20,0,2,1,Ottawa A,225,Maude-Sophie Lockman,20,0,4,4,Jason Rohfritsch,20,0,1,0,Ian Theysmeyer (UG),20,0,5,1,Aedan Cooper (DII),20,0,1,0
ACF Winter 2023,McMaster A (DII),70,Willow Paraskevas (DII),20,0,2,0,Robert McKinnon (DII),20,0,1,0,Lorcan Thorpe (DII),20,0,0,0,Cranmer McGinn (DII),20,0,0,0,McGill B (UG),405,Max Gross (DII),18,0,0,0,Jet Dong (UG),18,0,10,1,Francis Dinh (UG),20,0,4,0,Devito Stevanus (DII),20,0,1,0
ACF Winter 2023,McGill D (UG),120,James Wadsley (DII),7,0,1,0,Gerrit Severeid (UG),7,0,0,0,Asha Basu (DII),20,0,6,2,None,0,0,0,0,Western B (UG),150,Lauren Stoyles (UG),20,0,8,0,Jordan Brereton (DII),20,0,0,0,Jack Richardson (DII),20,0,0,1,Eesa Huq (UG),20,0,0,1
ACF Winter 2023,McGill A (UG),260,Nicolas Edwards (UG),20,0,6,1,Nabhaan Farooqi (UG),20,0,1,1,Henry Olsen (UG),20,0,0,0,Elena Bai (UG),20,0,2,0,Ottawa B,140,Mica Oestreich (UG),20,0,0,2,James Wang,20,0,4,1,David Gayowsky,20,0,0,0,Daniel Vorotynstev (UG),20,0,4,1
ACF Winter 2023,Toronto D,205,Martin Profant,20,0,6,1,Ethen Sun,16,0,4,0,None,0,0,0,0,None,0,0,0,0,Toronto C (DII),180,Theodore Lam (DII),20,0,5,0,Robert Lawetz (DII),20,0,0,0,Blake Kim-Wansbrough (DII),20,0,2,0,Athan Juritsch (DII),20,0,1,0
ACF Winter 2023,Toronto B (UG),170,Yihong Chen (DII),20,0,3,1,Sarah Khan (UG),20,0,0,0,Franklin Wu (DII),20,0,5,1,None,0,0,0,0,Carleton A,215,Valerie Brown (DII),20,0,0,0,Stuart Chandler-Baas (DII),20,0,1,1,Kevin Le,20,0,4,0,Kevin Anderson,20,0,3,2
ACF Winter 2023,Toronto A,325,Marcus Forbes-Green,20,0,0,2,Kunaal Chandrashekar (DII),20,0,3,0,Jason Zhang (UG),20,0,4,1,Ben Wismath (UG),20,0,6,0,McGill E (UG),100,Stephen Klein (UG),18,0,2,0,Rowan Watchmaker (DII),20,0,2,0,James Ferrabee (DII),18,0,0,2,Charlotte Bauer (DII),20,0,1,0
ACF Winter 2023,Ottawa C (UG),80,Ishan Joshi (UG),20,0,4,3,Jesse Chusing (UG),20,0,0,0,Martine Lajeunesse (UG),20,0,0,1,Stefan Vlad (DII),20,0,1,0,Waterloo B,425,Caleb Ott (DII),20,0,6,1,Micah Colman (DII),20,0,6,0,Rayton Lin (UG),20,0,1,0,Tomas Jakovac,20,0,2,0
ACF Winter 2023,Ottawa A,90,Maude-Sophie Lockman,20,0,2,6,Jason Rohfritsch,20,0,1,0,Ian Theysmeyer (UG),20,0,1,0,Aedan Cooper (DII),20,0,1,0,McGill B (UG),365,Max Gross (DII),20,0,1,0,Jet Dong (UG),20,0,7,1,Francis Dinh (UG),20,0,1,0,Devito Stevanus (DII),20,0,5,0
ACF Winter 2023,Toronto E (UG),160,Samuel Zheng (DII),20,0,3,0,Kevin Gan (UG),20,0,4,1,Imtiaz Kidwai (DII),20,0,1,1,Bhanu Mamillapalli (UG),20,0,1,0,Queen's A,95,Simon Mezo (DII),20,0,2,1,Lauren MacDonnell (UG),20,0,1,0,Lael Alva (DII),20,0,1,0,Jocelyn Tweedle (UG),20,0,1,0
ACF Winter 2023,Waterloo C (UG),250,Prabhjot Chopra (DII),20,0,0,0,Jacob Bicol (UG),20,0,4,1,Dawson Teu (DII),20,0,4,1,Adrian O'Leary (DII),20,0,2,0,McMaster A (DII),115,Willow Paraskevas (DII),20,0,6,2,Robert McKinnon (DII),20,0,0,0,Lorcan Thorpe (DII),20,0,0,1,Halee Carey (DII),20,0,1,0
ACF Winter 2023,McGill D (UG),170,James Wadsley (DII),20,0,2,1,Gerrit Severeid (UG),20,0,1,1,Asha Basu (DII),20,0,4,2,None,0,0,0,0,Toronto C (DII),195,Theodore Lam (DII),20,0,4,0,Robert Lawetz (DII),20,0,1,0,Blake Kim-Wansbrough (DII),20,0,1,0,Athan Juritsch (DII),20,0,3,1
ACF Winter 2023,Ottawa B,30,Mica Oestreich (UG),20,0,1,1,James Wang,20,0,0,0,David Gayowsky,20,0,0,0,Daniel Vorotynstev (UG),20,0,1,1,Waterloo A (UG),510,Michael Du (UG),20,0,4,0,Mattias Ehatamm (UG),20,0,6,1,Liam Kusalik (UG),20,0,4,0,Jared He (UG),20,0,3,1
ACF Winter 2023,McGill A (UG),260,Nicolas Edwards (UG),21,0,2,0,Nabhaan Farooqi (UG),21,0,5,1,Henry Olsen (UG),21,0,3,1,Elena Bai (UG),21,0,1,0,Ottawa D,250,Adrian Wong,21,0,10,2,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,Toronto D,200,Martin Profant,20,0,5,1,Ethen Sun,20,0,4,1,None,0,0,0,0,None,0,0,0,0,Western B (UG),120,Lauren Stoyles (UG),20,0,3,1,Jordan Brereton (DII),20,0,0,0,Jack Richardson (DII),20,0,1,0,Eesa Huq (UG),20,0,2,1
ACF Winter 2023,Ottawa C (UG),295,Stefan Vlad (DII),20,0,3,1,Martine Lajeunesse (UG),20,0,0,0,Jesse Chusing (UG),20,0,0,0,Ishan Joshi (UG),20,0,9,2,Toronto F (DII),65,Nathaniel Cutts (DII),20,0,0,0,Kevin He (DII),20,0,2,0,James Xiao (DII),20,0,1,1,Ellen Ge (DII),20,0,1,0
ACF Winter 2023,McGill C,120,Uday Bhardwaj (DII),20,0,2,3,Sam Baker,20,0,3,0,Chloe Wei (DII),20,0,2,1,None,0,0,0,0,Waterloo B,310,Tomas Jakovac,20,0,1,0,Rayton Lin (UG),20,0,1,0,Micah Colman (DII),20,0,2,0,Caleb Ott (DII),20,0,8,0
ACF Winter 2023,Toronto A,380,Marcus Forbes-Green,20,0,2,0,Kunaal Chandrashekar (DII),20,0,4,0,Jason Zhang (UG),20,0,2,0,Ben Wismath (UG),20,0,5,0,Carleton A,140,Stuart Chandler-Baas (DII),20,0,1,0,Stefan Mihai (UG),20,0,1,1,Kevin Le,20,0,2,0,Kevin Anderson,20,0,2,1
ACF Winter 2023,Toronto G (UG),470,Joey Sun (UG),20,0,3,1,Benjamin Chapman (UG),20,0,14,1,None,0,0,0,0,None,0,0,0,0,Toronto E (UG),20,Samuel Zheng (DII),20,0,0,1,Kevin Gan (UG),20,0,1,0,Imtiaz Kidwai (DII),20,0,1,1,Bhanu Mamillapalli (UG),20,0,0,0
ACF Winter 2023,McGill B (UG),270,Max Gross (DII),20,0,2,0,Jet Dong (UG),20,0,8,2,Francis Dinh (UG),20,0,0,0,Devito Stevanus (DII),20,0,2,0,Queen's A,85,Simon Mezo (DII),20,0,0,1,Lauren MacDonnell (UG),20,0,1,0,Lael Alva (DII),20,0,3,0,Charlie Botterell (UG),20,0,1,2
ACF Winter 2023,Ottawa A,240,Maude-Sophie Lockman,20,0,5,4,Jason Rohfritsch,20,0,2,0,Ian Theysmeyer (UG),20,0,2,1,Aedan Cooper (DII),20,0,1,1,McMaster A (DII),140,Willow Paraskevas (DII),20,0,4,0,Lorcan Thorpe (DII),20,0,1,0,Halee Carey (DII),20,0,0,0,Cranmer McGinn (DII),20,0,0,0
ACF Winter 2023,Waterloo C (UG),125,Prabhjot Chopra (DII),20,0,0,0,Jacob Bicol (UG),20,0,2,3,Dawson Teu (DII),20,0,3,0,Adrian O'Leary (DII),20,0,0,0,Western A,370,Olivia Druxerman (UG),20,0,0,1,Nicholas Kwan (UG),20,0,0,0,Ian Chow,20,0,14,1,Beth Kearney (UG),20,0,0,0
ACF Winter 2023,Ottawa D,340,Adrian Wong,20,0,13,4,None,0,0,0,0,None,0,0,0,0,None,0,0,0,0,Toronto D,80,Martin Profant,20,0,2,0,Ethen Sun,20,0,2,0,None,0,0,0,0,None,0,0,0,0
ACF Winter 2023,McGill A (UG),160,Nicolas Edwards (UG),20,0,5,3,Nabhaan Farooqi (UG),20,0,0,1,Henry Olsen (UG),20,0,0,1,Elena Bai (UG),20,0,2,1,Toronto C (DII),230,Theodore Lam (DII),20,0,9,0,Robert Lawetz (DII),20,0,0,0,Blake Kim-Wansbrough (DII),20,0,0,0,Athan Juritsch (DII),20,0,3,0
ACF Winter 2023,Waterloo A (UG),490,Michael Du (UG),20,0,5,1,Mattias Ehatamm (UG),20,0,2,1,Liam Kusalik (UG),20,0,4,0,Jared He (UG),20,0,4,2,Western B (UG),40,Lauren Stoyles (UG),20,0,1,0,Jordan Brereton (DII),20,0,0,0,Jack Richardson (DII),20,0,1,0,Eesa Huq (UG),20,0,0,0
ACF Winter 2023,McGill E (UG),25,Stephen Klein (UG),20,0,0,0,Rowan Watchmaker (DII),20,0,1,0,James Ferrabee (DII),20,0,0,1,Charlotte Bauer (DII),20,0,1,0,Waterloo B,445,Tomas Jakovac,20,0,4,0,Rayton Lin (UG),20,0,0,1,Micah Colman (DII),20,0,2,1,Caleb Ott (DII),20,0,10,1
